,player,date,season,game,opponent,age,df2.playoff_prob,oppo_playoff_prob,days_rest,miles,home,b2b,rest
0,John Wall,2015-10-28,2016,1,ORL,25.14168377823409,66.0,43.0,10.0,759.0,0.0,0,0.0
1,John Wall,2015-10-30,2016,2,MIL,25.147159479808348,66.0,34.0,2.0,1067.0,0.0,0,0.0
2,John Wall,2015-10-31,2016,3,NYK,25.149897330595483,66.0,6.0,1.0,635.0,1.0,1,0.0
3,John Wall,2015-11-04,2016,4,SAS,25.16084873374401,68.0,98.0,4.0,0.0,1.0,0,0.0
4,John Wall,2015-11-06,2016,5,BOS,25.16632443531828,68.0,84.0,2.0,394.0,0.0,0,0.0
5,John Wall,2015-11-07,2016,6,ATL,25.169062286105408,68.0,87.0,1.0,937.0,0.0,1,0.0
6,John Wall,2015-11-10,2016,7,OKC,25.177275838466805,55.0,98.0,3.0,543.0,1.0,0,0.0
7,John Wall,2015-11-14,2016,8,ORL,25.18822724161533,55.0,44.0,4.0,0.0,1.0,0,0.0
8,John Wall,2015-11-17,2016,9,MIL,25.19644079397673,50.0,15.0,3.0,0.0,1.0,0,0.0
9,John Wall,2015-11-21,2016,10,DET,25.207392197125248,50.0,53.0,4.0,394.0,0.0,0,0.0
10,John Wall,2015-11-24,2016,11,IND,25.215605749486645,59.0,66.0,3.0,394.0,1.0,0,0.0
11,John Wall,2015-11-25,2016,12,CHA,25.218343600273787,59.0,62.0,1.0,330.0,0.0,1,0.0
12,John Wall,2015-11-27,2016,13,BOS,25.22381930184805,59.0,86.0,2.0,721.0,0.0,0,0.0
13,John Wall,2015-11-28,2016,14,TOR,25.226557152635177,59.0,91.0,1.0,394.0,1.0,1,0.0
14,John Wall,2015-12-01,2016,15,CLE,25.234770704996578,31.0,99.9,3.0,304.0,0.0,0,0.0
15,John Wall,2015-12-02,2016,16,LAL,25.23750855578371,31.0,0.1,1.0,304.0,1.0,1,0.0
16,John Wall,2015-12-04,2016,17,PHX,25.242984257357968,31.0,40.0,2.0,0.0,1.0,0,0.0
17,John Wall,2015-12-06,2016,18,DAL,25.248459958932237,31.0,71.0,2.0,0.0,1.0,0,0.0
18,John Wall,2015-12-07,2016,19,MIA,25.251197809719372,28.0,63.0,1.0,928.0,0.0,1,0.0
19,John Wall,2015-12-09,2016,20,HOU,25.256673511293634,28.0,43.0,2.0,928.0,1.0,0,0.0
20,John Wall,2015-12-11,2016,21,NOP,25.2621492128679,28.0,28.0,2.0,966.0,0.0,0,0.0
21,John Wall,2015-12-12,2016,22,DAL,25.26488706365503,28.0,76.0,1.0,443.0,0.0,1,0.0
22,John Wall,2015-12-14,2016,23,MEM,25.270362765229287,35.0,77.0,2.0,420.0,0.0,0,0.0
23,John Wall,2015-12-16,2016,24,SAS,25.27583846680356,35.0,99.9,2.0,633.0,0.0,0,0.0
24,John Wall,2015-12-19,2016,25,CHA,25.284052019164964,35.0,85.0,3.0,1387.0,1.0,0,0.0
25,John Wall,2015-12-21,2016,26,SAC,25.289527720739216,31.0,29.0,2.0,0.0,1.0,0,0.0
26,John Wall,2015-12-23,2016,27,MEM,25.295003422313485,31.0,80.0,2.0,0.0,1.0,0,0.0
27,John Wall,2015-12-26,2016,28,BKN,25.30321697467488,31.0,0.1,3.0,205.0,0.0,0,0.0
28,John Wall,2015-12-28,2016,29,LAC,25.308692676249148,44.0,97.0,2.0,205.0,1.0,0,0.0
29,John Wall,2015-12-30,2016,30,TOR,25.31416837782341,44.0,93.0,2.0,350.0,0.0,0,0.0
30,John Wall,2016-01-01,2016,31,ORL,25.319644079397673,44.0,57.0,2.0,350.0,1.0,0,0.0
31,John Wall,2016-01-03,2016,32,MIA,25.325119780971942,44.0,59.0,2.0,0.0,1.0,0,0.0
