"date","season","playoff","team1..Home.","team2..Away.","elo1_pre","elo2_pre","elo_prob1","elo_prob2","score1","score2","team_of_interest","b2b","days_rest","df2.playoff_prob","miles"
"10/27/2015",2016,"","ATL","DET",1561.84355,1472.0588,0.748850097,0.251149903,94,106,"ATL",0,0,0.85,0
"10/29/2015",2016,"","NYK","ATL",1355.997709,1541.296352,0.379653673,0.620346327,101,112,"ATL",1,2,0.85,749
"10/30/2015",2016,"","ATL","CHO",1549.123263,1421.071319,0.787976728,0.212023272,97,94,"ATL",1,1,0.85,749
"11/1/2015",2016,"","CHO","ATL",1419.066415,1551.128167,0.45398996,0.54601004,92,94,"ATL",0,2,0.85,226
"11/3/2015",2016,"","MIA","ATL",1487.521593,1555.405687,0.546087312,0.453912688,92,98,"ATL",1,2,0.87,656
"11/4/2015",2016,"","ATL","BRK",1564.073886,1434.424242,0.789509213,0.210490787,101,87,"ATL",1,1,0.87,607
"11/6/2015",2016,"","NOP","ATL",1482.608241,1568.648054,0.520079519,0.479920481,115,121,"ATL",1,2,0.87,425
"11/7/2015",2016,"","ATL","WAS",1576.782164,1520.604479,0.710750337,0.289249663,114,99,"ATL",1,1,0.87,425
"11/9/2015",2016,"","ATL","MIN",1583.705723,1365.988919,0.861633607,0.138366393,107,117,"ATL",0,2,0.93,0
"11/11/2015",2016,"","ATL","NOP",1559.727986,1480.534752,0.737210313,0.262789687,106,98,"ATL",0,2,0.93,0
"11/13/2015",2016,"","BOS","ATL",1509.28706,1563.90158,0.56494596,0.43505404,106,93,"ATL",0,2,0.93,937
"11/15/2015",2016,"","ATL","UTA",1553.613866,1547.948693,0.647543241,0.352456759,96,97,"ATL",0,2,0.93,937
"11/17/2015",2016,"","BRK","ATL",1424.417517,1547.895889,0.466263245,0.533736755,90,88,"ATL",1,2,0.81,748
"11/18/2015",2016,"","ATL","SAC",1542.639268,1424.36963,0.778416293,0.221583707,103,97,"ATL",1,1,0.81,748
"11/21/2015",2016,"","CLE","ATL",1665.004226,1545.556727,0.779583583,0.220416417,109,97,"ATL",0,3,0.81,556
"11/24/2015",2016,"","ATL","BOS",1541.19316,1547.165404,0.632107168,0.367892832,121,97,"ATL",1,3,0.76,556
"11/25/2015",2016,"","MIN","ATL",1379.552296,1553.936488,0.394558667,0.605441333,99,95,"ATL",1,1,0.76,909
"11/27/2015",2016,"","MEM","ATL",1583.46949,1545.793874,0.688373144,0.311626856,101,116,"ATL",1,2,0.76,701
"11/28/2015",2016,"","SAS","ATL",1691.136951,1566.623871,0.784553336,0.215446664,108,88,"ATL",1,1,0.76,633
"11/30/2015",2016,"","ATL","OKC",1560.640414,1591.385579,0.59836636,0.40163364,106,100,"ATL",0,2,0.86,882
"12/2/2015",2016,"","ATL","TOR",1566.525789,1551.047284,0.660326089,0.339673911,86,96,"ATL",0,2,0.86,0
"12/4/2015",2016,"","ATL","LAL",1551.425713,1306.388691,0.879339767,0.120660233,100,87,"ATL",0,2,0.86,0
"12/9/2015",2016,"","DAL","ATL",1555.858035,1553.742937,0.642865199,0.357134801,95,98,"ATL",1,5,0.81,720
"12/10/2015",2016,"","OKC","ATL",1615.614569,1561.570406,0.708218925,0.291781075,107,94,"ATL",1,1,0.81,191
"12/12/2015",2016,"","ATL","SAS",1555.204633,1710.660625,0.42086333,0.57913667,78,103,"ATL",0,2,0.81,756
"12/14/2015",2016,"","ATL","MIA",1539.752658,1479.292199,0.715792283,0.284207717,88,100,"ATL",0,2,0.77,0
"12/16/2015",2016,"","ATL","PHI",1520.641114,1234.536814,0.90226028,0.09773972,127,106,"ATL",0,2,0.77,0
"12/18/2015",2016,"","BOS","ATL",1558.247594,1523.172205,0.685153233,0.314846767,101,109,"ATL",0,2,0.77,937
"12/20/2015",2016,"","ORL","ATL",1483.624278,1537.120949,0.566526865,0.433473135,100,103,"ATL",1,2,0.77,1117
"12/21/2015",2016,"","ATL","POR",1543.700184,1499.663771,0.696173108,0.303826892,106,97,"ATL",1,1,0.81,402
"12/23/2015",2016,"","ATL","DET",1549.003846,1526.987967,0.668715206,0.331284794,107,100,"ATL",0,2,0.81,0
"12/26/2015",2016,"","ATL","NYK",1554.082178,1392.877435,0.818113077,0.181886923,117,98,"ATL",0,3,0.81,0
"12/28/2015",2016,"","IND","ATL",1563.590076,1558.838761,0.646341683,0.353658317,93,87,"ATL",1,2,0.87,428
"12/29/2015",2016,"","HOU","ATL",1525.764941,1553.792182,0.602120526,0.397879474,115,121,"ATL",1,1,0.87,867
"1/3/2016",2016,"","NYK","ATL",1391.838902,1563.673181,0.398070466,0.601929534,111,97,"ATL",0,5,0.87,1421
"1/5/2016",2016,"","ATL","NYK",1547.245466,1408.266617,0.79829514,0.20170486,101,107,"ATL",0,2,0.87,749
"1/7/2016",2016,"","PHI","ATL",1253.045015,1531.981198,0.263076453,0.736923547,98,126,"ATL",0,2,0.87,666
"1/9/2016",2016,"","ATL","CHI",1541.553959,1569.950881,0.601610595,0.398389405,120,105,"ATL",0,2,0.87,666
"1/13/2016",2016,"","CHO","ATL",1464.22778,1551.700161,0.518020884,0.481979116,107,84,"ATL",0,4,0.89,226
"1/15/2016",2016,"","MIL","ATL",1418.969639,1534.455893,0.477728236,0.522271764,108,101,"ATL",1,2,0.89,659
"1/16/2016",2016,"","ATL","BRK",1525.55816,1351.397698,0.828948661,0.171051339,114,86,"ATL",1,1,0.89,670
"1/18/2016",2016,"","ATL","ORL",1531.39347,1449.870702,0.739799949,0.260200051,98,81,"ATL",0,2,0.84,0
"1/20/2016",2016,"","POR","ATL",1493.179249,1538.049447,0.578678937,0.421321063,98,104,"ATL",1,2,0.84,2171
"1/21/2016",2016,"","SAC","ATL",1486.828356,1547.411902,0.556482718,0.443517282,91,88,"ATL",1,1,0.84,484
"1/23/2016",2016,"","PHO","ATL",1354.339035,1542.604426,0.375639872,0.624360128,98,95,"ATL",0,2,0.84,635
"1/25/2016",2016,"","DEN","ATL",1420.858699,1535.092903,0.479526787,0.520473213,105,119,"ATL",0,2,0.89,586
"1/27/2016",2016,"","ATL","LAC",1547.289066,1634.656812,0.518171269,0.481828731,83,85,"ATL",1,2,0.89,1211
"1/28/2016",2016,"","IND","ATL",1523.323122,1542.230479,0.614627687,0.385372313,111,92,"ATL",1,1,0.89,428
"1/31/2016",2016,"","MIA","ATL",1495.995749,1530.788817,0.592753815,0.407246185,105,87,"ATL",1,3,0.89,1028
"2/1/2016",2016,"","ATL","DAL",1518.998727,1548.218735,0.600474452,0.399525548,112,97,"ATL",1,1,0.84,607
"2/3/2016",2016,"","PHI","ATL",1283.878031,1529.180205,0.302287928,0.697712072,86,124,"ATL",0,2,0.84,666
"2/5/2016",2016,"","ATL","IND",1543.268497,1539.465558,0.645092781,0.354907219,102,96,"ATL",0,2,0.84,666
"2/7/2016",2016,"","ORL","ATL",1400.745132,1548.336445,0.431935765,0.568064235,96,94,"ATL",1,2,0.84,402
"2/8/2016",2016,"","ATL","ORL",1542.629547,1406.45203,0.795686076,0.204313924,110,117,"ATL",1,1,0.92,402
"2/10/2016",2016,"","CHI","ATL",1505.379722,1526.122911,0.612121555,0.387878445,90,113,"ATL",0,2,0.92,589
"2/19/2016",2016,"","ATL","MIA",1549.740385,1500.93208,0.701951788,0.298048212,111,115,"ATL",1,9,0.95,589
"2/20/2016",2016,"","ATL","MIL",1539.661755,1435.172973,0.764431747,0.235568253,109,117,"ATL",1,1,0.95,0
"2/22/2016",2016,"","ATL","GSW",1523.065774,1802.391773,0.262641654,0.737358346,92,102,"ATL",0,2,0.85,0
"2/26/2016",2016,"","ATL","CHI",1518.298548,1497.411224,0.667274433,0.332725567,103,88,"ATL",0,4,0.85,0
"2/28/2016",2016,"","ATL","CHO",1526.467779,1534.134886,0.629835427,0.370164573,87,76,"ATL",0,2,0.85,0
"3/1/2016",2016,"","GSW","ATL",1818.513394,1534.059073,0.901419474,0.098580526,109,105,"ATL",0,2,0.84,2130
"3/4/2016",2016,"","LAL","ATL",1270.021979,1533.105452,0.281146047,0.718853953,77,106,"ATL",1,3,0.84,344
"3/5/2016",2016,"","LAC","ATL",1651.85136,1543.716613,0.768190158,0.231809842,97,107,"ATL",1,1,0.84,0
"3/8/2016",2016,"","UTA","ATL",1515.247632,1562.84554,0.574845991,0.425154009,84,91,"ATL",0,3,0.94,580
"3/10/2016",2016,"","TOR","ATL",1604.155843,1572.94084,0.680339899,0.319660101,104,96,"ATL",0,2,0.94,1667
"3/12/2016",2016,"","ATL","MEM",1567.687687,1533.189822,0.684435637,0.315564363,95,83,"ATL",1,2,0.94,736
"3/13/2016",2016,"","ATL","IND",1574.318205,1541.021441,0.682940406,0.317059594,104,75,"ATL",1,1,0.94,0
"3/16/2016",2016,"","DET","ATL",1502.445402,1586.542512,0.522870129,0.477129871,114,118,"ATL",1,3,0.99,598
"3/17/2016",2016,"","ATL","DEN",1593.241384,1452.753042,0.799690671,0.200309329,116,98,"ATL",1,1,0.99,598
"3/19/2016",2016,"","ATL","HOU",1598.358518,1544.934111,0.707481151,0.292518849,109,97,"ATL",0,2,0.99,0
"3/21/2016",2016,"","ATL","WAS",1604.421923,1513.50396,0.750074965,0.249925035,102,117,"ATL",0,2,0.99,0
"3/23/2016",2016,"","WAS","ATL",1537.342069,1580.583813,0.580962742,0.419037258,101,122,"ATL",0,2,0.99,543
"3/25/2016",2016,"","ATL","MIL",1601.21231,1437.784084,0.820009929,0.179990071,101,90,"ATL",1,2,0.99,543
"3/26/2016",2016,"","DET","ATL",1516.797722,1604.486228,0.517710252,0.482289748,95,112,"ATL",1,1,0.99,598
"3/28/2016",2016,"","CHI","ATL",1430.635348,1619.803385,0.374422009,0.625577991,100,102,"ATL",0,2,0.99,237
"3/30/2016",2016,"","TOR","ATL",1613.8797,1623.180774,0.627639851,0.372360149,105,97,"ATL",0,2,0.99,436
"4/1/2016",2016,"","ATL","CLE",1616.876648,1646.282746,0.600217435,0.399782565,108,110,"ATL",0,2,0.99,736
"4/5/2016",2016,"","ATL","PHO",1610.729128,1290.369247,0.918323694,0.081676306,103,90,"ATL",0,4,1,0
"4/7/2016",2016,"","ATL","TOR",1612.15158,1626.868717,0.620324933,0.379675067,95,87,"ATL",0,2,1,0
"4/9/2016",2016,"","ATL","BOS",1618.605621,1591.613478,0.67503028,0.32496972,118,107,"ATL",0,2,1,0
"4/11/2016",2016,"","CLE","ATL",1643.81098,1625.102318,0.664484187,0.335515813,109,94,"ATL",0,2,1,556
"4/13/2016",2016,"","WAS","ATL",1519.04091,1616.851467,0.50315082,0.49684918,109,98,"ATL",0,2,1,304
"4/16/2016",2016,"q","ATL","BOS",1605.928624,1573.581622,0.68175538,0.31824462,102,101,"ATL",0,3,1,543
"4/19/2016",2016,"q","ATL","BOS",1608.254951,1571.255295,0.687537822,0.312462178,89,72,"ATL",0,3,1,0
"4/22/2016",2016,"q","BOS","ATL",1563.005867,1616.504379,0.566524263,0.433475737,111,103,"ATL",0,3,1,937
"4/24/2016",2016,"q","BOS","ATL",1570.594869,1608.915377,0.587843034,0.412156966,104,95,"ATL",0,2,1,0
"4/26/2016",2016,"q","ATL","BOS",1601.268948,1578.241298,0.670004206,0.329995794,110,83,"ATL",0,2,1,937
"4/28/2016",2016,"q","BOS","ATL",1566.068095,1613.442151,0.575160892,0.424839108,92,104,"ATL",0,2,1,937
"5/2/2016",2016,"s","CLE","ATL",1662.617803,1627.415846,0.68531038,0.31468962,104,93,"ATL",0,4,1,550
"5/4/2016",2016,"s","CLE","ATL",1668.871696,1621.161952,0.700627058,0.299372942,123,98,"ATL",0,2,1,0
"5/6/2016",2016,"s","ATL","CLE",1610.895965,1679.137684,0.545576974,0.454423026,108,121,"ATL",0,2,1,556
"5/8/2016",2016,"s","ATL","CLE",1597.17776,1692.855889,0.506219351,0.493780649,99,100,"ATL",0,2,1,0
"10/27/2016",2017,"","ATL","WAS",1571.053531,1523.722815,0.700169215,0.299830785,114,99,"ATL",0,172,0.49,0
"10/29/2016",2017,"","PHI","ATL",1276.616587,1578.275802,0.238514004,0.761485996,72,104,"ATL",0,2,0.49,666
"10/31/2016",2017,"","ATL","SAC",1587.68998,1462.279632,0.785425104,0.214574896,106,95,"ATL",0,2,0.49,666
"11/2/2016",2017,"","ATL","LAL",1591.693548,1337.120445,0.885043892,0.114956108,116,123,"ATL",0,2,0.71,0
"11/4/2016",2017,"","WAS","ATL",1496.255633,1570.905514,0.536417153,0.463582847,95,92,"ATL",1,2,0.71,543
"11/5/2016",2017,"","ATL","HOU",1565.825117,1543.726401,0.668820837,0.331179163,112,97,"ATL",1,1,0.71,543
"11/8/2016",2017,"","CLE","ATL",1710.885529,1573.949201,0.796395275,0.203604725,106,110,"ATL",1,3,0.71,556
"11/9/2016",2017,"","ATL","CHI",1586.37857,1482.997318,0.763281747,0.236718253,115,107,"ATL",1,1,0.75,556
"11/12/2016",2017,"","ATL","PHI",1590.075533,1261.054227,0.921986246,0.078013754,117,96,"ATL",0,3,0.75,0
"11/15/2016",2017,"","MIA","ATL",1534.453826,1592.044157,0.560731092,0.439268908,90,93,"ATL",1,3,0.75,607
"11/16/2016",2017,"","ATL","MIL",1598.534008,1431.93138,0.822691204,0.177308796,107,100,"ATL",1,1,0.85,607
"11/18/2016",2017,"","CHO","ATL",1574.327281,1600.992888,0.603996823,0.396003177,100,96,"ATL",0,2,0.85,226
"11/20/2016",2017,"","NYK","ATL",1421.943013,1596.261525,0.394648988,0.605351012,104,94,"ATL",0,2,0.85,534
"11/22/2016",2017,"","ATL","NOP",1582.90323,1380.3157,0.850919848,0.149080152,94,112,"ATL",1,2,0.85,749
"11/23/2016",2017,"","IND","ATL",1469.329734,1548.704992,0.529646574,0.470353426,85,96,"ATL",1,1,0.73,428
"11/25/2016",2017,"","UTA","ATL",1542.870634,1560.564942,0.616280322,0.383719678,95,68,"ATL",0,2,0.73,1355
"11/27/2016",2017,"","LAL","ATL",1403.950446,1545.977272,0.439811809,0.560188191,109,94,"ATL",1,2,0.73,580
"11/28/2016",2017,"","GSW","ATL",1738.52275,1530.368332,0.854939452,0.145060548,105,100,"ATL",1,1,0.73,344
"11/30/2016",2017,"","PHO","ATL",1354.508349,1528.730424,0.394781619,0.605218381,109,107,"ATL",0,2,0.68,647
"12/2/2016",2017,"","ATL","DET",1522.512555,1556.501454,0.593870797,0.406129203,85,121,"ATL",1,2,0.68,1587
"12/3/2016",2017,"","TOR","ATL",1622.201019,1491.174303,0.790823544,0.209176456,128,84,"ATL",1,1,0.68,736
"12/5/2016",2017,"","ATL","OKC",1480.929421,1624.674443,0.437376425,0.562623575,99,102,"ATL",0,2,0.68,736
"12/7/2016",2017,"","ATL","MIA",1476.204371,1500.500856,0.607254096,0.392745904,103,95,"ATL",0,2,0.33,0
"12/9/2016",2017,"","MIL","ATL",1477.011022,1482.928842,0.632180019,0.367819981,110,114,"ATL",0,2,0.33,670
"12/13/2016",2017,"","ATL","ORL",1491.575952,1414.717702,0.734598034,0.265401966,120,131,"ATL",0,4,0.33,670
"12/16/2016",2017,"","TOR","ATL",1645.195327,1472.73192,0.827559028,0.172440972,121,125,"ATL",1,3,0.35,736
"12/17/2016",2017,"","ATL","CHO",1486.117067,1520.571965,0.593223646,0.406776354,99,107,"ATL",1,1,0.35,736
"12/19/2016",2017,"","OKC","ATL",1597.357831,1474.748837,0.782694861,0.217305139,108,110,"ATL",0,2,0.35,756
"12/21/2016",2017,"","ATL","MIN",1483.951457,1411.092911,0.730084982,0.269915018,84,92,"ATL",0,2,0.35,756
